-
l(2)35Cc,CG7519,628781,627370,FBpp0080268,FBpp0078009,0.000,0.000,0.000,0.000,0.433,0.000,0.000,0.127,0.472
NHP2,Nxt1,625810,623783,FBpp0075448,FBpp0072150,0.000,0.000,0.000,0.000,0.727,0.000,0.000,0.000,0.727
CG17471,CG10635,634320,626666,FBpp0099993,FBpp0076858,0.000,0.000,0.000,0.000,0.000,0.404,0.000,0.000,0.404
tsu,Pros35,633257,628302,FBpp0087648,FBpp0079538,0.000,0.000,0.000,0.000,0.483,0.000,0.000,0.159,0.536
SmG,e(r),634940,623188,FBpp0111906,FBpp0071210,0.000,0.000,0.000,0.000,0.592,0.000,0.000,0.000,0.592
E(var)3-9,l(3)01239,629576,626140,FBpp0081490,FBpp0075967,0.000,0.000,0.000,0.000,0.435,0.000,0.000,0.000,0.435
CG9246,Arc-p34,629256,629187,FBpp0081001,FBpp0080890,0.000,0.000,0.000,0.000,0.537,0.000,0.000,0.000,0.537
CG11980,CG5525,629545,628594,FBpp0081443,FBpp0079992,0.000,0.000,0.000,0.000,0.522,0.000,0.000,0.000,0.522
CG1518,e(r),626723,623188,FBpp0076956,FBpp0071210,0.000,0.000,0.000,0.000,0.446,0.000,0.000,0.000,0.446
FBpp0084630,Tcp-1eta,631493,629518,FBpp0084630,FBpp0081401,0.000,0.000,0.000,0.000,0.070,0.000,0.900,0.000,0.900
ran,skpA,624491,622485,FBpp0073328,FBpp0070119,0.000,0.000,0.000,0.000,0.825,0.000,0.000,0.064,0.825
CG7911,CG13993,631701,627854,FBpp0084971,FBpp0078822,0.000,0.000,0.000,0.000,0.673,0.000,0.000,0.000,0.673
mtSSB,Cct5,634173,632951,FBpp0099503,FBpp0087095,0.000,0.000,0.000,0.000,0.572,0.000,0.000,0.000,0.572
CG13993,CG15676,627854,623423,FBpp0078822,FBpp0071585,0.000,0.000,0.000,0.000,0.120,0.000,0.940,0.616,0.977
icln,CG9548,632312,627902,FBpp0086010,FBpp0078894,0.000,0.000,0.000,0.000,0.518,0.000,0.000,0.000,0.518
CG8386,AP-2sigma,632533,630792,FBpp0086402,FBpp0083502,0.000,0.000,0.000,0.000,0.471,0.000,0.000,0.000,0.472
mtSSB,CG7519,634173,627370,FBpp0099503,FBpp0078009,0.000,0.000,0.000,0.000,0.720,0.000,0.000,0.000,0.720
Set,Uev1A,630199,626667,FBpp0082521,FBpp0076859,0.000,0.000,0.000,0.000,0.616,0.000,0.000,0.000,0.616
CG4866,l(2)37Cg,636470,629065,FBpp0289829,FBpp0080704,0.000,0.000,0.000,0.000,0.875,0.000,0.000,0.000,0.875
san,CG11980,633037,629545,FBpp0087227,FBpp0081443,0.000,0.000,0.000,0.000,0.641,0.000,0.000,0.000,0.641
Aos1,Su(var)205,629915,628114,FBpp0082065,FBpp0079251,0.000,0.000,0.000,0.000,0.809,0.000,0.000,0.133,0.823
Nup62,CG6719,632476,629813,FBpp0086294,FBpp0081882,0.000,0.000,0.000,0.000,0.296,0.481,0.000,0.000,0.611
Cctgamma,l(3)01239,630363,626140,FBpp0082787,FBpp0075967,0.000,0.000,0.000,0.000,0.439,0.404,0.900,0.000,0.962
mtSSB,Nlp,634173,631667,FBpp0099503,FBpp0084918,0.000,0.000,0.000,0.000,0.801,0.000,0.000,0.000,0.801
CG8860,CG8386,632966,632533,FBpp0087119,FBpp0086402,0.000,0.000,0.000,0.000,0.424,0.000,0.000,0.000,0.424
me31B,l(3)01239,628321,626140,FBpp0079565,FBpp0075967,0.000,0.000,0.000,0.000,0.426,0.000,0.000,0.000,0.425
CG1518,REG,626723,624639,FBpp0076956,FBpp0073561,0.000,0.000,0.000,0.000,0.499,0.000,0.000,0.000,0.499
CG31184,snRNP2,636499,629403,FBpp0289873,FBpp0081234,0.000,0.000,0.000,0.834,0.727,0.472,0.000,0.616,0.861
CG5525,mago,628594,623376,FBpp0079992,FBpp0071497,0.000,0.000,0.000,0.000,0.469,0.000,0.000,0.000,0.469
